,IPOyear,LastSale,MarketCap,Name,Sector,Summary Quote,Symbol,Unnamed: 8,industry
0,,16.51,188000000000.0,3D Systems Corporation,Technology,https://www.nasdaq.com/symbol/ddd,DDD,,Computer Software: Prepackaged Software
1,,196.73,1154000000000.0,3M Company,Health Care,https://www.nasdaq.com/symbol/mmm,MMM,,Medical/Dental Instruments
2,2013.0,8.92,37692000000.0,500.com Limited,Consumer Services,https://www.nasdaq.com/symbol/wbai,WBAI,,Services-Misc. Amusement & Recreation
3,2013.0,61.87,913000000000.0,58.com Inc.,Technology,https://www.nasdaq.com/symbol/wuba,WUBA,,"Computer Software: Programming, Data Processing"
4,,17.79,166000000000.0,8x8 Inc,Technology,https://www.nasdaq.com/symbol/eght,EGHT,,EDP Services
5,,4.4,9547000000.0,A.H. Belo Corporation,Consumer Services,https://www.nasdaq.com/symbol/ahc,AHC,,Newspapers/Magazines
6,2014.0,5.65,4108000000.0,"A10 Networks, Inc.",Technology,https://www.nasdaq.com/symbol/aten,ATEN,,Computer Communications Equipment
7,2014.0,6.9,16972000000.0,"AAC Holdings, Inc.",Health Care,https://www.nasdaq.com/symbol/aac,AAC,,Medical Specialities
8,,43.63,153000000000.0,AAR Corp.,Capital Goods,https://www.nasdaq.com/symbol/air,AIR,,Aerospace
9,,48.81,354000000000.0,"Aaron&#39;s,  Inc.",Technology,https://www.nasdaq.com/symbol/aan,AAN,,Diversified Commercial Services
10,,21.14,4507000000000.0,ABB Ltd,Consumer Durables,https://www.nasdaq.com/symbol/abb,ABB,,Electrical Products
11,,68.38,11996000000000.0,Abbott Laboratories,Health Care,https://www.nasdaq.com/symbol/abt,ABT,,Major Pharmaceuticals
12,2012.0,90.7,13734000000000.0,AbbVie Inc.,Health Care,https://www.nasdaq.com/symbol/abbv,ABBV,,Major Pharmaceuticals
13,,17.99,12000000000.0,Abercrombie & Fitch Company,Consumer Services,https://www.nasdaq.com/symbol/anf,ANF,,Clothing/Shoe/Accessory Stores
14,2006.0,9.48,11897000000.0,Aberdeen Global Dynamic Dividend Fund,,https://www.nasdaq.com/symbol/agd,AGD,,
15,2007.0,5.49,46889000000.0,Aberdeen Global Premier Properties Fund,,https://www.nasdaq.com/symbol/awp,AWP,,
16,2011.0,13.68,17885000000.0,Aberdeen Income Credit Strategies Fund,,https://www.nasdaq.com/symbol/acp,ACP,,
17,1992.0,7.84,10497000000.0,"Aberdeen Japan Equity Fund, Inc. ",,https://www.nasdaq.com/symbol/jeq,JEQ,,
18,2007.0,8.18,88011000000.0,Aberdeen Total Dynamic Dividend Fund,,https://www.nasdaq.com/symbol/aod,AOD,,
19,,31.21,206000000000.0,ABM Industries Incorporated,Finance,https://www.nasdaq.com/symbol/abm,ABM,,Diversified Commercial Services
20,,26.87,219000000000.0,Acadia Realty Trust,Consumer Services,https://www.nasdaq.com/symbol/akr,AKR,,Real Estate Investment Trusts
21,2001.0,156.0,9982000000000.0,Accenture plc,Miscellaneous,https://www.nasdaq.com/symbol/acn,ACN,,Business Services
22,,10.35,108000000000.0,Acco Brands Corporation,Consumer Durables,https://www.nasdaq.com/symbol/acco,ACCO,,Publishing
23,2007.0,20.0773,5381000000.0,"Acorn International, Inc.",Consumer Services,https://www.nasdaq.com/symbol/atv,ATV,,Other Specialty Stores
24,,24.69,15000000000.0,Actuant Corporation,Technology,https://www.nasdaq.com/symbol/atu,ATU,,Industrial Machinery/Components
25,,119.44,48000000000.0,Acuity Brands Inc,Consumer Durables,https://www.nasdaq.com/symbol/ayi,AYI,,Building Products
26,2016.0,24.48,183000000000.0,Acushnet Holdings Corp.,Consumer Non-Durables,https://www.nasdaq.com/symbol/golf,GOLF,,Recreational Products/Toys
27,,15.41,156000000000.0,"Adams Diversified Equity Fund, Inc.",,https://www.nasdaq.com/symbol/adx,ADX,,
28,,18.9,54802000000.0,"Adams Natural Resources Fund, Inc.",,https://www.nasdaq.com/symbol/peo,PEO,,
29,2011.0,7.48,87183000000.0,Adecoagro S.A.,Consumer Non-Durables,https://www.nasdaq.com/symbol/agro,AGRO,,Farming/Seeds/Milling
30,2016.0,31.74,296000000000.0,Adient plc,Capital Goods,https://www.nasdaq.com/symbol/adnt,ADNT,,Auto Parts:O.E.M.
31,2018.0,7.77,596000000000.0,ADT Inc.,Consumer Services,https://www.nasdaq.com/symbol/adt,ADT,,Diversified Commercial Services
32,,46.33,275000000000.0,Adtalem Global Education Inc.,Consumer Services,https://www.nasdaq.com/symbol/atge,ATGE,,Other Consumer Services
33,,161.04,1193000000000.0,Advance Auto Parts Inc,Consumer Services,https://www.nasdaq.com/symbol/aap,AAP,,Other Specialty Stores
34,2016.0,25.79,228000000000.0,"Advanced Disposal Services, Inc.",Public Utilities,https://www.nasdaq.com/symbol/adsw,ADSW,,Environmental Services
35,2014.0,27.77,158000000000.0,"Advanced Drainage Systems, Inc.",Capital Goods,https://www.nasdaq.com/symbol/wms,WMS,,Containers/Packaging
36,2016.0,30.71,93147000000.0,AdvanSix Inc.,Basic Industries,https://www.nasdaq.com/symbol/asix,ASIX,,Major Chemicals
37,2003.0,14.63,5051000000.0,Advent Claymore Convertible Securities and Income Fund,,https://www.nasdaq.com/symbol/avk,AVK,,
38,2007.0,30.79,495000000000.0,AECOM,Consumer Services,https://www.nasdaq.com/symbol/acm,ACM,,Military/Government/Technical
39,2006.0,1.3,5283000000.0,Aegean Marine Petroleum Network Inc.,Energy,https://www.nasdaq.com/symbol/anw,ANW,,Oil Refining/Marketing
40,,23.37,,Aegon NV,Finance,https://www.nasdaq.com/symbol/aeb,AEB,,Life Insurance
41,,25.36,,Aegon NV,Finance,https://www.nasdaq.com/symbol/aed,AED,,Life Insurance
42,,6.09,1245000000000.0,Aegon NV,Finance,https://www.nasdaq.com/symbol/aeg,AEG,,Life Insurance
43,,25.15,,Aegon NV,Finance,https://www.nasdaq.com/symbol/aeh,AEH,,Life Insurance
44,2006.0,52.84,784000000000.0,Aercap Holdings N.V.,Technology,https://www.nasdaq.com/symbol/aer,AER,,Diversified Commercial Services
45,2014.0,3.94,21797000000.0,"Aerohive Networks, Inc.",Technology,https://www.nasdaq.com/symbol/hive,HIVE,,EDP Services
46,,30.36,23000000000.0,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,https://www.nasdaq.com/symbol/ajrd,AJRD,,Military/Government/Technical
47,,198.95,6514000000000.0,Aetna Inc.,Health Care,https://www.nasdaq.com/symbol/aet,AET,,Medical Specialities
48,,123.19,658000000000.0,"Affiliated Managers Group, Inc.",Finance,https://www.nasdaq.com/symbol/amg,AMG,,Investment Managers
49,,44.49,3416000000000.0,Aflac Incorporated,Finance,https://www.nasdaq.com/symbol/afl,AFL,,Accident &Health Insurance
50,2011.0,17.27,48747000000.0,"AG Mortgage Investment Trust, Inc.",,https://www.nasdaq.com/symbol/mitt,MITT,,
51,,25.17,,"AG Mortgage Investment Trust, Inc.",,https://www.nasdaq.com/symbol/mitt^a,MITT^A,,
52,,25.2032,,"AG Mortgage Investment Trust, Inc.",,https://www.nasdaq.com/symbol/mitt^b,MITT^B,,
53,,56.22,445000000000.0,AGCO Corporation,Capital Goods,https://www.nasdaq.com/symbol/agco,AGCO,,Industrial Machinery/Components
54,1999.0,64.89,2068000000000.0,"Agilent Technologies, Inc.",Capital Goods,https://www.nasdaq.com/symbol/a,A,,Biotechnology: Laboratory Analytical Instruments
55,,37.37,875000000000.0,Agnico Eagle Mines Limited,Basic Industries,https://www.nasdaq.com/symbol/aem,AEM,,Precious Metals
56,,51.59,181000000000.0,Agree Realty Corporation,Consumer Services,https://www.nasdaq.com/symbol/adc,ADC,,Real Estate Investment Trusts
57,2011.0,41.85,436000000000.0,Air Lease Corporation,Technology,https://www.nasdaq.com/symbol/al,AL,,Diversified Commercial Services
58,,157.09,3445000000000.0,"Air Products and Chemicals, Inc.",Basic Industries,https://www.nasdaq.com/symbol/apd,APD,,Major Chemicals
59,2006.0,20.03,157000000000.0,Aircastle Limited,Technology,https://www.nasdaq.com/symbol/ayr,AYR,,Diversified Commercial Services
60,,4.51,142000000000.0,AK Steel Holding Corporation,Basic Industries,https://www.nasdaq.com/symbol/aks,AKS,,Steel/Iron Ore
61,,23.58,,Alabama Power Company,,https://www.nasdaq.com/symbol/alp^q,ALP^Q,,
62,,85.16,99873000000.0,"Alamo Group, Inc.",Capital Goods,https://www.nasdaq.com/symbol/alg,ALG,,Industrial Machinery/Components
63,2015.0,5.04,196000000000.0,Alamos Gold Inc.,Basic Industries,https://www.nasdaq.com/symbol/agi,AGI,,Precious Metals
64,,59.81,737000000000.0,"Alaska Air Group, Inc.",Transportation,https://www.nasdaq.com/symbol/alk,ALK,,Air Freight/Delivery Services
65,,70.2,226000000000.0,Albany International Corporation,Basic Industries,https://www.nasdaq.com/symbol/ain,AIN,,Textiles
66,,94.36,1023000000000.0,Albemarle Corporation,Basic Industries,https://www.nasdaq.com/symbol/alb,ALB,,Major Chemicals
67,2016.0,35.67,665000000000.0,Alcoa Corporation,Basic Industries,https://www.nasdaq.com/symbol/aa,AA,,Aluminum
68,,20.0,144000000000.0,"Alexander & Baldwin, Inc.",Consumer Services,https://www.nasdaq.com/symbol/alex,ALEX,,Real Estate Investment Trusts
69,,334.05,171000000000.0,"Alexander&#39;s, Inc.",Consumer Services,https://www.nasdaq.com/symbol/alx,ALX,,Real Estate Investment Trusts
70,,119.79,1267000000000.0,"Alexandria Real Estate Equities, Inc.",Consumer Services,https://www.nasdaq.com/symbol/are,ARE,,Real Estate Investment Trusts
71,,34.01,,"Alexandria Real Estate Equities, Inc.",,https://www.nasdaq.com/symbol/are^d,ARE^D,,
72,2016.0,9.79,461000000000.0,Algonquin Power & Utilities Corp.,Public Utilities,https://www.nasdaq.com/symbol/aqn,AQN,,Electric Utilities: Central
73,2014.0,141.9,36496000000000.0,Alibaba Group Holding Limited,Miscellaneous,https://www.nasdaq.com/symbol/baba,BABA,,Business Services
74,,599.34,895000000000.0,Alleghany Corporation,Finance,https://www.nasdaq.com/symbol/y,Y,,Property-Casualty Insurers
75,,26.99,339000000000.0,Allegheny Technologies Incorporated,Basic Industries,https://www.nasdaq.com/symbol/ati,ATI,,Steel/Iron Ore
76,2013.0,82.76,786000000000.0,Allegion plc,Consumer Services,https://www.nasdaq.com/symbol/alle,ALLE,,Diversified Commercial Services
77,2013.0,182.22,6185000000000.0,Allergan plc.,Health Care,https://www.nasdaq.com/symbol/agn,AGN,,Major Pharmaceuticals
78,,75.56,388000000000.0,"Allete, Inc.",Public Utilities,https://www.nasdaq.com/symbol/ale,ALE,,Power Generation
79,2002.0,13.41,11472000000.0,Alliance California Municipal Income Fund Inc,,https://www.nasdaq.com/symbol/akp,AKP,,
80,2001.0,211.69,1163000000000.0,Alliance Data Systems Corporation,Miscellaneous,https://www.nasdaq.com/symbol/ads,ADS,,Business Services
81,2002.0,11.86,34091000000.0,Alliance National Municipal Income Fund Inc,,https://www.nasdaq.com/symbol/afb,AFB,,
82,1993.0,11.42,98474000000.0,Alliance World Dollar Government Fund II,,https://www.nasdaq.com/symbol/awf,AWF,,
83,,28.26,277000000000.0,AllianceBernstein Holding L.P.,Finance,https://www.nasdaq.com/symbol/ab,AB,,Investment Managers
84,,42.62,996000000000.0,Alliant Energy Corporation,Public Utilities,https://www.nasdaq.com/symbol/lnt,LNT,,Power Generation
85,2017.0,8.9,16249000000.0,AllianzGI Convertible & Income 2024 Target Term Fund,,https://www.nasdaq.com/symbol/cbh,CBH,,
86,2003.0,6.53,58321000000.0,AllianzGI Convertible & Income Fund,,https://www.nasdaq.com/symbol/ncv,NCV,,
87,,24.7,,AllianzGI Convertible & Income Fund,,https://www.nasdaq.com/symbol/ncv^a,NCV^A,,
