,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
0,MMM,3M Company,196.73,1154000000000.0,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm,
1,ABT,Abbott Laboratories,68.38,11996000000000.0,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt,
2,ABBV,AbbVie Inc.,90.7,13734000000000.0,2012.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv,
3,ACN,Accenture plc,156.0,9982000000000.0,2001.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn,
4,AYI,Acuity Brands Inc,119.44,48000000000.0,,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi,
5,AAP,Advance Auto Parts Inc,161.04,1193000000000.0,,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap,
6,AET,Aetna Inc.,198.95,6514000000000.0,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aet,
7,AMG,"Affiliated Managers Group, Inc.",123.19,658000000000.0,,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg,
8,AFL,Aflac Incorporated,44.49,3416000000000.0,,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl,
9,A,"Agilent Technologies, Inc.",64.89,2068000000000.0,1999.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a,
10,APD,"Air Products and Chemicals, Inc.",157.09,3445000000000.0,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd,
11,ALK,"Alaska Air Group, Inc.",59.81,737000000000.0,,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk,
12,ALB,Albemarle Corporation,94.36,1023000000000.0,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb,
13,ARE,"Alexandria Real Estate Equities, Inc.",119.79,1267000000000.0,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are,
14,ALLE,Allegion plc,82.76,786000000000.0,2013.0,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/alle,
15,AGN,Allergan plc.,182.22,6185000000000.0,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn,
16,ADS,Alliance Data Systems Corporation,211.69,1163000000000.0,2001.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads,
17,LNT,Alliant Energy Corporation,42.62,996000000000.0,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt,
18,ALL,Allstate Corporation (The),93.17,3226000000000.0,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all,
19,MO,Altria Group,61.12,11522000000000.0,,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/mo,
20,AEE,Ameren Corporation,64.04,1563000000000.0,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee,
21,AEP,"American Electric Power Company, Inc.",71.22,3511000000000.0,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep,
22,AXP,American Express Company,101.58,8747000000000.0,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/axp,
23,AIG,"American International Group, Inc.",50.14,4455000000000.0,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/aig,
24,AMT,American Tower Corporation (REIT),140.68,6202000000000.0,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt,
25,AWK,American Water Works,87.45,1578000000000.0,2008.0,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk,
26,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",135.38,1921000000000.0,,Finance,Investment Managers,https://www.nasdaq.com/symbol/amp,
27,ABC,AmerisourceBergen Corporation (Holding Co),87.31,1889000000000.0,,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc,
